rawToken;wahlkreis_id;election_id
QGoMsfesiYhzY3GFqPBOoQ;3;3
N4mncRsABA5-S26vUSnTvg;3;3
buHYiveJQ0hiq1mgKHlSqg;3;3
qKZPv5wSNtfdCSehkfIZsQ;3;3
SjKVleSJbWuA0g0M49eicw;3;3
qOcZZTBBLq1zuO8HUmpafw;3;3
2gQZGoyqu3vvM9scR8cDkg;3;3
zu8XwAFlP9YXcv9AMk67fw;3;3
TrFen_8-VpXrgT9M_RDECQ;3;3
vO7Zq06lAI-hqt8nsxxkTw;3;3
cS6J6VfZjbuDVVu0ZCnlbg;2;3
yrp-LAWjZkH0z61mt_4TTw;2;3
0fFKfM2P9ozTIqmwdeBNJg;2;3
fsymwL8FckzIZ413H0_SOg;2;3
HWX6xiwpSrAfYeca8uCXlw;2;3
UQYiG-ZbwgisCLFlqsV6jQ;2;3
b55ZOXkWAO04YfVtV35doQ;2;3
lVS3zJNAlaEOwzBmvIiByA;2;3
8tkfRq7sZefSxUKBabybSw;2;3
c0UHjx1VrSTy30QCZrwSIw;2;3
aLO17z-7q7LA-UIiuYfTlA;1;3
ajKPhP0tF9V7cb9YetLtZg;1;3
yOy79pXi533N7hPm6JWnEQ;1;3
EEJkr4s0L3-CJ1EURxaUdA;1;3
Yp7M0IoFqNL21McOhSVb4A;1;3
FVs_PzrIXCcN-SLwFpsfaw;1;3
UtVCe1ypUC9kgxn71ZVHlw;1;3
gC7FC7EUP4W4Ze04sRuqpQ;1;3
oRXnMcjSu6Y9_aIBpFB04w;1;3
uPdkBAATmysSHuYiQJ8Wbg;1;3
FdS17f3r-dgyh61UCQdj9Q;4;3
xB6AdHRcWgDLCgWUkT-QaA;4;3
V1O-7KaPSSM73oCR2HmFoQ;4;3
H1-jFklmDH4ahtTdstD18A;4;3
JIorsSoR9vd9AwT7_oskhg;4;3
RvG-2zy6RPtrWnnLcZoK4w;4;3
EIXkpvrSWrWtBo7TLyNiUA;4;3
MegdFCKrAYc3aoh3Fe4dEA;4;3
Jr7yYxr-WSx1aTnQb2BG4A;4;3
Ww6Wk5Q0upKxVvjtjkmjhg;4;3
VpnkgLewtpEqq7nCKyYzJQ;5;3
nT-4A9M9tMlfMdCXxMbjjg;5;3
t55K5BS72LBCATshyqpEGQ;5;3
n3DSuKgoBIP2jJmpRR-eOg;5;3
KAX5AvnaANqswLPeyZBYFg;5;3
ORmYYtI43_bPL5A4UMwwIA;5;3
68MyVaQen1idUANAYyCmLA;5;3
OPwRK74xSRJJ_ZtqKhj7aw;5;3
BCjvKOvHhnVZ8SuD0nZP0Q;5;3
WneITfg-s7F31XPNVPwyGQ;5;3
GlA4Vl28l3OCn0b1DNiztw;6;3
3wGN4xX35piwQu5zkOkMbQ;6;3
dduNe-3GKL8ZfPhftSVVdA;6;3
AWPaPOZHImWg3j5w_7pGWQ;6;3
MlUG7aEhUeh89rgArxBBfQ;6;3
gHUuK3DU7iOtrPPoM15CDA;6;3
lt-okqLPWrpbScqAfXx5cw;6;3
k-EoLRnL6deUsfZ4yuOHww;6;3
ZnokOq8oGsalFvJxMWMbxw;6;3
qLFKcLalrFv3hSQzZrEBXg;6;3
zkiAzQ-T6ClXtUdt8MogEg;8;3
yCHOr2E5OiFvOCEiQe_cmw;8;3
reB1B-6hUdJe1qCX9ro9JA;8;3
CF07wu04J5R9f1g5OvlHwA;8;3
U8ELfH0v8Rjz1w2vjvWCuw;8;3
LPUXsOoYyc_0bSfvdKbbGA;8;3
jjg-FTWqg0YxvdVemI16tQ;8;3
oDpSgtxQkQsWXb4jLaZfUQ;8;3
s-Q7UPYolm-57HWBrjjE3w;8;3
7QZk-SFOe1w3ZBTqR306NA;8;3
_-Grutxd1mKWien89p68Jw;7;3
TDnbWbD16bIzGZemYl92bg;7;3
SggY6FizKoMM-ND81_bRJA;7;3
REg8kxxoRAyovXIVRzc_-g;7;3
3hRIrLmIYSGgGcGNS1srcQ;7;3
zzpIZX6F0EpFjNBWQS-42A;7;3
xcM3uEWUq5xxyf85rU64WQ;7;3
jp8R57exWb22CYqw1EZc1A;7;3
kVCaShsqv7xBdcb8Zy48lQ;7;3
hYI_-rJmPxqw4KaUaK4coQ;7;3
IhcTTIzAnjsnnkGBDJk_fg;10;3
BEJjScEshnCaMn8gGYd5KA;10;3
H0w7VKY2m4F1JpRyxi7DVg;10;3
PX_qQmXKv62YUJfmDrvAGg;10;3
CtGFcipuv-p4NxJ9M3dTbA;10;3
scflI5pVsJLhRG7j1Uws9w;10;3
xC1kDNnevtYsuzopSUnaZA;10;3
YkD7-jJpsuuwAoDzKgQdDw;10;3
7y3T70p39XaI9TT2J784vQ;10;3
vpi-A8KyRNl-5Rut4R2aJQ;10;3
nYF0Qg-zyXMxUb2KW_eqig;13;3
xY6UqrAnOLy8Mu-7JRo1sA;13;3
Hr8oDGJhGHdnA7Ahr1TlhQ;13;3
jRTQ6bY4ZlJC5CgpLQzDWg;13;3
TSDnsWR73AehtUSftgxdqg;13;3
Ec2mygwyUO-pBF3Q2ofjHw;13;3
sxEJ6rJo0wtR9ND469UPkQ;13;3
c5bzp_-ZTqEsheGliKgRGg;13;3
zbnHvSRwyhxctr_MODJutQ;13;3
0TczvWkRrB68U-9sPcFHqA;13;3
SNE0B5OfhgnzycmisfdIjA;12;3
9_T1PSH-HIVPhel8fh36Fg;12;3
PzqRWHeDLXQoOwk6oLjC9g;12;3
_rQkuLbyak0j3sxo5nbHQA;12;3
ypodCy3RpSOtzu6Q-Oz_yg;12;3
kDVg0VqVAsbnBMgK8J-YCQ;12;3
Oz6gh33PBEuJNZW7mtIj2w;12;3
g7oAfF7XGdOxSmJ8q8JT3Q;12;3
S1enAR01RG5irS6J1J0pfA;12;3
YrIFq1ujQU55d-8mFHENpw;12;3
VvGGD4L891L4Mamv0ISC4g;9;3
EtHFvbUXhiDcceTUDy1fuA;9;3
AG6220mymysxqO9PFMRKQA;9;3
HPY51YsTVst3ce3g7VUFdw;9;3
hf0KrZ47X629KW_jhelkXA;9;3
tg2fU1GNgcyJUqGuhtZIlw;9;3
B8Lg5OHc_3zd-5T7ao-neg;9;3
DZyogdfpZz96ZRqwbPsjnw;9;3
1e3y3n-CYjE7kSLhelM_ew;9;3
g_uGHa8BwRB-cl_epr0rOQ;9;3
98yfpv44NTPHJDzyhESWgQ;11;3
bN5tq9cALKY6QrASTZUZOQ;11;3
19LjXTkcQRDrCZMRiinciw;11;3
--BVNO0mh2L7LS80gMnj9g;11;3
cxgKxw3Yxt5h-HNZRBcfJA;11;3
bydrOHyc8B3NHGpS9tyEFw;11;3
X9GMcTxxuKXe7DQBeslZyw;11;3
Y5_rM2mrJ5jT4HI0ojvWww;11;3
R2uo5X96hTy6qIZYzJhdkw;11;3
ZtzPg3B6cAvVxHpWzCjERQ;11;3
aWxNFqGNaTbR-gaUDafLlg;14;3
qZ86uFuy7isSfye_aahDLA;14;3
eASq0oSfaFeCh52BNt5YnQ;14;3
vsg5gUVXSSgR_SQkt0IMSQ;14;3
dQmoqmZfGRBlZY_Dzm8QKw;14;3
b_wKznprlyt_mwPcs6Td2g;14;3
f--Qn2urlAnfO9bKcVFEMw;14;3
3o3_EhoksYZDlDuAY8iySQ;14;3
8N0sWrUWY7W7jagaJ1j30w;14;3
2iUBiPld34EzP4rZKmr8oA;14;3
QnekfpIJfEGceb5CHZmwWg;16;3
80w48z0LzB4XvJuSXqudtw;16;3
9s9w-syReTkDGbf_Q7QWxw;16;3
jbEBfawppllh4JrCgsVmFw;16;3
jknDqmtczudCRttdG50PIg;16;3
zwmWC9Ti-HdEKPcijb6sdw;16;3
WaL9z4Hk7jPUhgZGoylaCg;16;3
AvjmIsjwqYbRjyLc6-_OcA;16;3
I7oYdmtec6yM5elpT3Qwww;16;3
vl8EPn2J7R5zkddWmvwPhg;16;3
Hov5QKJJCrUAOdVXMl512g;15;3
HsrxsC7OjFyOtkP1Q2SfSg;15;3
TCt2-t2rI2lkQ94ctgUxMg;15;3
6lK-sacPFIDILYa71ehFRQ;15;3
08G3ZLHFOcF8twy8PT75vg;15;3
MkAHTMhrK3VApL3ALWeMag;15;3
CAX8Ck7nQxygGi67NiV9rg;15;3
J5bXE0-3UH_9XsKibHBv5A;15;3
OLCDqzuaY5nDDaJKTXIZSQ;15;3
ISep5ucR_PkPHJwhvvoWkg;15;3
R6ewHhUnjDUYghqj-qsrJw;19;3
iUm6lbEn5fGh7iDo3U5Abg;19;3
OpiBmMxTJ77xQVg19pcPlA;19;3
S0Z4C3MfvfaZ3CyWuE8HFQ;19;3
sMZMz2RpphykS23pl11BPA;19;3
X59QYnWiuDIJxdDteFpgDA;19;3
n2AjXRK_Es3KLRU5txNnVA;19;3
RCKRe4FaZyAsMXkkehC4yw;19;3
UJ_SRXpAPtqQHtag6_sNZA;19;3
3O8AmLQOApenYybO3pXBdQ;19;3
YHwICRp2PByoBwBnXta_3g;20;3
uVv1v18fiOnbQiAcgPibPw;20;3
25vtUZHM4UI1Zv282-zEdA;20;3
vUx65zyGEQd9fPy08OOsZQ;20;3
X7XnOJt6AoasrPiu9rt34Q;20;3
c-SlbCWAGdJLBImJXKGjFw;20;3
cA3cOMX008f4rPMr4vx-EA;20;3
pMckVAjgocl5Sn4G5dZo3w;20;3
kZ_XclQj7q3T3121c-2Zmw;20;3
HAwSz3F-x6jxWBac7sX5Pg;20;3
_SeC-jX2_Au-9ArqwsGTWg;17;3
ew9ovdLTo8v7vWw3GIlLxw;17;3
mGhd4UhcAiH7R-Lnfq1Sew;17;3
wmipYXi0n_cyT2l8rvZmjQ;17;3
K6nNGRylfkYhq3-rvn900g;17;3
kx8CeqtzEetqPB2cUqJ-uw;17;3
FFq9SuDWUylYqtGqDqcL_A;17;3
_dx6UvEsJBptbLExeOWVEw;17;3
9FhfS_ot--y0mbS-CZGFxw;17;3
4XxnR0dapIxrrdevBhsJUw;17;3
LuL-bdqvn3MNg4unjXsHBw;21;3
9yydqLrLk1lkPpiMFSlvcA;21;3
5gOANQBpB1aHftwn7tD1Jg;21;3
h64Rjhos3sSiaPvVrgSMAQ;21;3
9NQUc_e5GtvZNNP3D_SokQ;21;3
QCqVR7ZibbM7xhZ5Y5AEBA;21;3
m7TfC_kCpsJhlWhGnC7OEw;21;3
1Dnj2wYl6PEJFx1z5as8iw;21;3
NpF-9Q5kvSLW74p-Ddiqdg;21;3
nZbnEqh6z6RHmfY54qrueQ;21;3
aBbJ2WJbfWhm501wKs13pA;18;3
k2nzbqkdJsxjxkM1Pe-_7A;18;3
Fd4AWR65kxWSN1xHJ4BPIg;18;3
vDK7gqYkJSU8xfJNali-Vg;18;3
iZbjjMi1g7auf3VNQhngKg;18;3
cQDB33TgQ9TXUJ1_d_RJ9w;18;3
Duti2Sf3DyVooGEyaRdiWg;18;3
2GPzg0Z8AQd8meuxgCk5vQ;18;3
nI9U4vTVJFxeJmMYT4sKUQ;18;3
ccCz3BODEAfuPNG7V696lg;18;3
bqBtf8aphMeBrbv4lkrrlg;22;3
Au5nuHo1HWWlzBETbyyidg;22;3
jyhQyzbXsjvTkTstuqbpAw;22;3
YP_WBPpNmFeVLn1r_mrxPg;22;3
lJIl922qj8rbtETkDe4otQ;22;3
LiHr05uU5Zjbi0XApxYemQ;22;3
HfE12sTkrWKUppXKclq3Pw;22;3
xM3VpjRdQaYRfjPm697sqQ;22;3
zKdJ2zJssUdQBgehA_Uwvg;22;3
Cf9WDcYrxjkTFyr2DnK3jw;22;3
ebH4I4QlGaSQRPlTuF3C4w;23;3
8NqQwLwthDbdiQMyS0EFfQ;23;3
LfZTCr-hWun4pPWHFZo1_A;23;3
fQ4RpFsX3Z_OByCLr2UZsA;23;3
fTByMAEA3z6xp4dCwj_7tg;23;3
bst7QNK6hFyLwfjhNr0FYA;23;3
y20PWiUhqYEtyqe2utzQJg;23;3
lZxIlNGcqSoe3v1ZhpLFUA;23;3
ZafxbmGjaWEEtByr3Z4X2A;23;3
GbTMX94ymK_cMXLDxnbkHA;23;3
Y54oP_TPzx0vgV80o3JEzQ;24;3
I-bfX_MvBxhk8h3uvqEwRQ;24;3
ZpJdIYCCfqMIHbjAyktKNQ;24;3
gXXnzHze_YmSYyYc8BGsPQ;24;3
mH-IX6y7Bkduu8BRTyptEg;24;3
fIYDvXBgF-c7u4A2lnFVOQ;24;3
4Qi2jos63z4TRUcLE52f1w;24;3
UVYF2SN7MwBKBuG8pe3nNg;24;3
gFokYk7TZ2ybtSqIcnBP9g;24;3
2x01OZQOcEgZo8XCUyp1EA;24;3
B87RsocaekONhNoEn2HzTw;25;3
qvz_Ug5HLX66mcnoTDGIfw;25;3
KW2KlyiMg-CDR0JXoLD8hQ;25;3
_I99whIwx1eYIFjfYsReCQ;25;3
McO4dCQ6zA-bi3Ii4VY3fw;25;3
-S5F16wkIe0rwag43SdcMg;25;3
ZUTytiA3O18Uy_RIJ5_HKQ;25;3
vRjP3RfTRJkTjsDWsVhwqg;25;3
PwSV4XIoWEt03oUW8rE-1Q;25;3
S5YJSiMBRh59UO3ipTqOtQ;25;3
WevzS4o5P83JU0q-I21LEg;27;3
lRJ97w6F9WZ60f8y_WVH1g;27;3
EctKG2XJJlBdq4J0ROPiWA;27;3
hDe6CFDHu6uiczUAV1L5dw;27;3
K1gISlW89NpABdMlWYI_zQ;27;3
